Report generated on: 04-02-2024 16:48:16
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-WORL-TST.A","        Coal (Mst)","4061688.7174056275","4096764.7687049983","4184654.871100304","4308739.928178943","4512653.805985877","4684161.508516473","4738867.531677402","4920204.217239365","5066031.1521331165","5079227.623931165","4984902.471108345","4862765.723845865","4755548.187145996","4761187.075349726","4788451.41904302","4924481.760866606","5028175.6741308365","4954506.439884205","4931627.486894417","4947767.697360229","5200997.371168433","5275996.115852387","5403915.244387371","5826756.259438575","6323949.036027868","6731406.643618591","7105203.320743168","7443424.541969941","7594230.92869689","7658238.563022182","8230707.657636885","8696297.424798844","8946484.850612726","9020924.706642628","8910461.785392227","8682650.675058974","8455764.84285625","8536425.85484238","8668311.234567659","8593126.010602212","8271547.789296628","8698185.367888605","9632381.71579769"
"INTL.11-2-WORL-TST.A","            Anthracite (Mst)","217684.20723549966","218024.58895376383","224897.80766516368","230916.21989079658","237853.94480760273","248025.90295980734","253352.57348365267","258936.57730858497","268669.1615839852","270097.7959677475","265243.04729682","257927.56496773538","242749.58786765375","244194.5161244926","243265.9345300055","256398.2858342616","263025.7847400292","257036.75660864863","250218.32936179073","250894.8459372761","264141.48605823185","268514.7633040574","282404.6487368208","320261.5124998384","371809.433901943","407470.3903122027","446753.1871097382","474154.50402800186","483831.1398216636","515234.01861989644","561606.715511254","610425.3165191223","635435.4593371581","640370.1039583804","617923.1781864356","598760.8511695236","578983.9222264389","581003.7802154225","587483.4253293915","599045.5440388018","590192.8889094897","620224.3266290594","535611.7840470857"
"INTL.130-2-WORL-TST.A","            Metallurgical coal (Mst)","611137.671375785","598412.6442381166","584593.9786440802","577465.4075622417","617089.698919179","637955.8633380133","640375.1919300854","652774.9028342766","682187.4187601757","691483.3638051522","686861.7166274341","678598.5708341964","655198.7158141335","640667.4074590652","630183.274993227","636508.0853109967","640290.2731478893","631856.6237225594","609207.6819211501","601453.3663597155","618217.8491233194","626709.3790983933","628862.6972313107","693860.1224499025","759916.4700749256","803215.0143892608","851794.1355707034","911555.4818704964","952085.1175530902","994781.2555244812","1105249.5498104678","1163017.871843147","1228948.868141468","1271987.2278360117","1243271.180601466","1218664.5628140082","1174745.5349555134","1106597.7494407252","1044726.6901330246","1064538.4434994175","1029121.8181512061","1064100.2507846125","1144617.4309881313"
"INTL.12-2-WORL-TST.A","            Bituminous (Mst)","1863324.0767747848","1878559.020081328","1924892.5007044007","2018130.2990209672","2087385.1849093381","2145754.96264366","2167531.4518672847","2279716.6560083195","2338044.393750193","2296539.137126845","2289027.248123661","2268815.4333647205","2192383.9466753984","2217021.9013689565","2236095.48923601","2298282.584006163","2350683.254402859","2277657.050343488","2284514.9321604855","2291632.2765284157","2431532.745733022","2431884.7860986046","2526677.583401154","2777209.0094149364","3043964.958868508","3314717.373583862","3550415.4347289796","3715382.1958923945","3727919.945302438","3724427.74816165","4068946.070912046","4326227.326562197","4461835.880101004","4493202.942388257","4427032.919753553","4262465.404208932","4083069.148050384","4223813.065816587","4253051.048850272","4235720.124516619","4188800.4031281145","4366128.1928175595","5093081.49258574"
"INTL.119-2-WORL-TST.A","            Subbituminous (Mst)","342058.47544472397","363197.0479435309","379424.2475551385","383498.5459091171","414377.8683453331","451808.29853930743","457420.27820477646","486590.39868945366","515235.07667564193","549968.822509666","573542.8438394308","584083.0191414222","604439.0917632682","632863.0777980408","675034.3934078523","727483.1580212616","765585.4082827508","795757.2849816428","804081.0504592673","856578.4033594746","903604.3413972628","953378.7711366779","969730.5288680107","1010619.0329212878","1097576.6025285856","1138177.0195088636","1165128.0954166828","1219100.6125431627","1286175.902877369","1284414.366599105","1325229.2604078637","1337085.3266810398","1347563.0709069534","1387840.2267974843","1441171.2818203669","1427927.4452980822","1440556.767350839","1434492.5315697505","1579690.4861495479","1546834.81812585","1430961.5438821276","1519012.9582348266","1744692.432934069"
"INTL.14-2-WORL-TST.A","            Lignite (Mst)","1027484.286574834","1038571.4674882588","1070846.3365315213","1098729.45579582","1155947.1090044242","1200616.4810356847","1220188.0361916022","1242185.6823987302","1261895.1013631204","1271138.5045217546","1170227.6152209996","1073341.1355377901","1060776.845025542","1026440.1725991704","1003872.3268759262","1005809.6476939231","1008590.9535573078","992198.7242278671","983605.4929917229","947208.8051753471","983500.9488565964","995508.4162146539","996239.7861500756","1024806.5821526105","1050681.5706539054","1067826.8458244016","1091112.4679170635","1123231.7476358851","1144218.8231423297","1139381.17411705","1169676.060995253","1259541.5831933378","1272701.5721261434","1227524.205662495","1181063.2250304057","1174832.4115684277","1178409.470273075","1190518.7277998948","1203359.5841054223","1146987.0804215232","1032471.1352256902","1128719.6394225461","1114378.575242665"
"INTL.21-2-WORL-TST.A","        Metallurgical coke (Mst)","417989.1961634099","410238.4030473986","378250.3995224499","379266.01787943026","395912.3991233399","400276.7607763096","390476.19978367654","395510.04145646875","409174.94826428656","409672.706115081","394935.2238264468","371270.70959154086","364019.0917259459","358887.20888083766","354522.23243736906","375780.5830666138","381540.92888514634","378594.69874795666","362909.0122315184","356546.17755694565","374871.1521025391","380582.0971058845","383671.16470649926","417389.12928434636","452725.07527793176","515887.9090597837","555701.9061580017","577319.5176883485","576210.1487063156","564712.3006847217","617953.6988197841","670550.2859949458","681335.9764186454","753227.6847818583","773390.707748221","737922.840279566","750137.2332106226","731542.1332834985","740885.7907788759","763607.9179900497","766940.1550857368","788899.4160235309","791052.8139053098"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-AFG-TST.A","        Coal (Mst)","131.17505","137.78892","159.83515","159.83515","163.14208","166.44902","176.36982","184.086","152.11897","139.99354","115.74269","103.61727","8.81849","7.71618","6.61387","5.51156","3.30693","2.20462","2.20462","1.10231","1.10231","28.6601","23.14854","38.5809","37.47859","36.37627","38.5809","112.233606115","185.88631223","326.936456365","547.3530205","693.690240705","840.02746091","937.80957693819","754.53556786377","734.0670964506","1045.9240161586","1141.0523896553","1236.180763152","1331.3091366486","1097.706680413","1845.26694","1701.4045009665"
