"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Elkeiy M.A.; Abdelaziz Y.N.; Hamad M.S.; Abdel-Khalik A.S.; Abdelrahem M.","Elkeiy, Mohamed A. (58095876100); Abdelaziz, Yousef N. (58126380500); Hamad, Mostafa S. (24921044100); Abdel-Khalik, Ayman S. (26530779700); Abdelrahem, Mohamed (56951337100)","58095876100; 58126380500; 24921044100; 26530779700; 56951337100","Multiport DC-DC Converter with Differential Power Processing for Fast EV Charging Stations","2023","Sustainability (Switzerland)","15","4","3026","","","","2","10.3390/su15043026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149282801&doi=10.3390%2fsu15043026&partnerID=40&md5=33347e09b0cc9e1913c2153acf95514a","Institute of High Power Converters, Technical University of Munich (TUM), Munich, 80333, Germany; Electrical Engineering Département, Faculty of Engineering, Alexandria University, Alexandria, 21526, Egypt; Department of Electronic and Electrical Engineering, University of Strathclyde, Glasgow, G1 1XQ, United Kingdom; Research and Development Center, Arab Academy for Science, Technology and Maritime Transport, Al Alamein, 5060305, Egypt; Electrical Engineering Département, Faculty of Engineering, Assiut University, Assiut, 71516, Egypt","Elkeiy M.A., Institute of High Power Converters, Technical University of Munich (TUM), Munich, 80333, Germany, Electrical Engineering Département, Faculty of Engineering, Alexandria University, Alexandria, 21526, Egypt; Abdelaziz Y.N., Electrical Engineering Département, Faculty of Engineering, Alexandria University, Alexandria, 21526, Egypt, Department of Electronic and Electrical Engineering, University of Strathclyde, Glasgow, G1 1XQ, United Kingdom; Hamad M.S., Research and Development Center, Arab Academy for Science, Technology and Maritime Transport, Al Alamein, 5060305, Egypt; Abdel-Khalik A.S., Electrical Engineering Département, Faculty of Engineering, Alexandria University, Alexandria, 21526, Egypt; Abdelrahem M., Institute of High Power Converters, Technical University of Munich (TUM), Munich, 80333, Germany, Electrical Engineering Département, Faculty of Engineering, Assiut University, Assiut, 71516, Egypt","With the growing interest in owning electric vehicles due to increased environmental awareness and uncertain energy security together with the development of Li-ion batteries, quietness, and trouble-free operation, it is urgent to develop charging stations that are fast enough to supply the vehicles with energy conveniently, as in case of conventional petrol stations. The main reason that hinders the spread of fast charging stations is the installation cost, comprising the infrastructure and converter costs. In this article, a multiport DC-DC converter with differential power processing stages is proposed for Electric Vehicle (EV) fast charging stations, which results in a considerable reduction in the cost of using converters while achieving high efficiency. The proposed topology consists of two paths for the power flow (outer and inner loops) for EV battery charging with main and auxiliary DC-DC converters in the outer loop; all the ports are connected in series with the main supply, where the bulk power is being transferred. The main DC-DC converter injects a series voltage to control the power in the outer loop. The auxiliary DC-DC converters are rated at a fractional power that controls the partial power supplied to each port through the inner loops. Thanks to the fractional power processed by the auxiliary converter with the remaining power fed to the battery through the main converter, the proposed architecture enables simultaneous charging of multiple electric vehicles with better efficiency, lower cost, and the capability of providing a fault tolerance feature. A PWM control scheme for the converters to achieve bi-directional power flow in the partially rated DC-DC converters is discussed for the proposed system. Moreover, a practical down-scaled hardware prototype is designed to validate the functionality, control scheme, and effectiveness of the proposed topology in different case studies being investigated. The efficiency of the proposed converter is compared to the conventional configuration. © 2023 by the authors.","DC-DC converters; differential power processing; dual active bridge; EV charging; fast charging; power control","architecture; electric vehicle; hardware; infrastructure; installation; mineral processing; petroleum; power line; security; topology","","","M. Abdelrahem; Institute of High Power Converters, Technical University of Munich (TUM), Munich, 80333, Germany; email: mohamed.abdelrahem@tum.de","","MDPI","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149282801"
"Ugarteche O.; de León C.; García J.","Ugarteche, Oscar (23478798600); de León, Carlos (57710455600); García, Joselin (57211617050)","23478798600; 57710455600; 57211617050","China and the energy matrix in Latin America: Governance and geopolitical perspective","2023","Energy Policy","177","","113435","","","","0","10.1016/j.enpol.2023.113435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150758748&doi=10.1016%2fj.enpol.2023.113435&partnerID=40&md5=39c57c2f49a2c217e3bad6609610cff2","Instituto de Investigaciones Económicas UNAM, Mexico; Benemérita Universidad Autónoma de Puebla, Mexico","Ugarteche O., Instituto de Investigaciones Económicas UNAM, Mexico; de León C., Instituto de Investigaciones Económicas UNAM, Mexico; García J., Benemérita Universidad Autónoma de Puebla, Mexico","The importance of energy for States is fundamental. The proper functioning of production depends on energy security and energy policies. It is an object of geopolitics to control a region's production strategically. With the fight against climate change, green energy policies became relevant. In Latin America, the energy supply has various fossil and non-fossil fuels, primarily hydroelectric and alternative renewables. Energy demand is weak for EVs and mass transport vehicles. The energy matrix change process is led by China in Latin America, with a powerful presence through both credits and investments, both in renewable energy generation and the demand for EVs. Generally, she has invested the most money in energy in the world. Theoretically, there is a geopolitical issue as China has stepped into the US “backyard”. The result is that the energy matrix change has implications for domestic taxation, international trade, and inter-American relations. Chinese foreign direct investment (FDI) in Latin America has concentrated mainly on renewable energy since 2015, with strong resistance from the United States. © 2023 Elsevier Ltd","Energy; Geopolitics; Issues in international trade; Natural resources and domestic and international conflicts; Renewable resources and conservation","China; Latin America; Climate change; Energy policy; Energy security; Fossil fuels; International trade; Investments; Natural resources; Renewable energy resources; Taxation; Energy; Energy matrix; Energy supplies; Geopolitic; Green energy; Issue in international trade; Latin America; Natural resource and domestic and international conflict; Renewable resource; Renewable resource and conservation; alternative energy; energy policy; foreign direct investment; geopolitics; governance approach; international relations; international trade; renewable resource; transport vehicle; Conservation","Inter-American Development Bank, IDB; Ministry of Energy","In this line, the Inter-American Development Bank granted the Chilean Government US $50 million in loans (IDB, 2021) to improve the energy market's regulation and distribution and promote citizen participation in clean energy. The inclusion of the population has been evident through workshops and popular consultations to learn about their needs regarding energy deficiencies (Chilean Ministry of Energy, 2020).","O. Ugarteche; Instituto de Investigaciones Económicas UNAM, Mexico; email: ugarteche@iiec.unam.mx","","Elsevier Ltd","03014215","","ENPYA","","English","Energy Policy","Article","Final","","Scopus","2-s2.0-85150758748"
"Carchini G.; Hamza A.; Hussein I.A.; Saad M.; Mahmoud M.; Shawabkeh R.; Aparicio S.","Carchini, Giuliano (6602154748); Hamza, Ahmed (57212237818); Hussein, Ibnelwaleed A. (7006902814); Saad, Mohammed (56911786700); Mahmoud, Mohamed (35792348900); Shawabkeh, Reyad (6602254580); Aparicio, Santiago (7007112247)","6602154748; 57212237818; 7006902814; 56911786700; 35792348900; 6602254580; 7007112247","Hydrogen storage in gas reservoirs: A molecular modeling and experimental investigation","2023","International Journal of Hydrogen Energy","48","20","","7419","7430","11","2","10.1016/j.ijhydene.2022.11.174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145311242&doi=10.1016%2fj.ijhydene.2022.11.174&partnerID=40&md5=ceb2708dd00ce6797846d4cd1bdbd0ed","Gas Processing Center, College of Engineering, Qatar University, P.O. Box 2713, Doha, Qatar; Department of Chemical Engineering, College of Engineering, Qatar University, P.O. Box 2713, Doha, Qatar; Department of Petroleum Engineering, King Fahd University of Petroleum & Minerals, Dhahran, 31261, Saudi Arabia; Chemical Engineering Department, University of Jordan, Amman, Jordan; Department of Chemistry, University of Burgos, Burgos, 09001, Spain","Carchini G., Gas Processing Center, College of Engineering, Qatar University, P.O. Box 2713, Doha, Qatar; Hamza A., Gas Processing Center, College of Engineering, Qatar University, P.O. Box 2713, Doha, Qatar; Hussein I.A., Gas Processing Center, College of Engineering, Qatar University, P.O. Box 2713, Doha, Qatar, Department of Chemical Engineering, College of Engineering, Qatar University, P.O. Box 2713, Doha, Qatar; Saad M., Gas Processing Center, College of Engineering, Qatar University, P.O. Box 2713, Doha, Qatar, Department of Chemical Engineering, College of Engineering, Qatar University, P.O. Box 2713, Doha, Qatar; Mahmoud M., Department of Petroleum Engineering, King Fahd University of Petroleum & Minerals, Dhahran, 31261, Saudi Arabia; Shawabkeh R., Chemical Engineering Department, University of Jordan, Amman, Jordan; Aparicio S., Department of Chemistry, University of Burgos, Burgos, 09001, Spain","Hydrogen is one of the clean energy sources that can be used instead of fossil fuel sources to reduce greenhouse emissions. However, hydrogen supply intermittency significantly reduces the deployment and reliability of this energy resource. Therefore, this work investigates the underground storage of hydrogen in depleted gas reservoirs to avoid seasonal fluctuations in hydrogen supply and assure long-term energy security. The obtained results from molecular simulation (Density Functional Theory) revealed hydrogen is adsorbed physically on calcite (104) and silica (001) surfaces on different adsorption configurations. This conclusion is supported by low adsorption energies (−0.14 eV for calcite and −0.09 for silica) and by Bader charge analysis, which showed no indication of charge transfer. The experimental results illustrated that hydrogen has a very low adsorption affinity toward carbonate and sandstone rocks in the temperature range of 50–100 °C and pressure up to 20 bar. These results show the potential of depleted gas reservoirs to store hydrogen for s is useful in hydrogen recovery as no hydrogen will be adsorbed to the rock surface of conventional gas reservoirs. © 2022 Hydrogen Energy Publications LLC","Calcite; Density functional theory; Depleted gas reservoirs; Hydrogen adsorption; Hydrogen storage; Molecular simulation","Calcite; Charge transfer; Energy security; Fossil fuels; Gas adsorption; Gases; Hydrogen storage; Molecular structure; Petroleum reservoirs; Silica; Clean energy sources; Density-functional-theory; Depleted gas reservoir; Experimental investigations; Fossil fuel sources; Gas reservoir; Greenhouse emissions; Hydrogen adsorption; Hydrogen supply; Molecular simulations; Density functional theory","Qatar Foundation, QF, (NPRP13S-1231-190009); Qatar National Research Fund, QNRF; Qatar University, QU","Funding text 1: The authors would like to acknowledge the Qatar National Research Fund (a member of Qatar Foundation) for funding through Grant # NPRP13S-1231-190009. Al-Salam Petroleum Services Company, Qatar, is also acknowledged for co-funding this project. The findings achieved herein are solely the responsibility of the authors. The authors would also like to acknowledge Qatar University for providing support.; Funding text 2: The authors would like to acknowledge the Qatar National Research Fund (a member of Qatar Foundation) for funding through Grant # NPRP13S-1231-190009 . Al-Salam Petroleum Services Company, Qatar, is also acknowledged for co-funding this project. The findings achieved herein are solely the responsibility of the authors. The authors would also like to acknowledge Qatar University for providing support. ","I.A. Hussein; Gas Processing Center, College of Engineering, Qatar University, Doha, P.O. Box 2713, Qatar; email: ihussein@qu.edu.qa","","Elsevier Ltd","03603199","","IJHED","","English","Int J Hydrogen Energy","Article","Final","","Scopus","2-s2.0-85145311242"
"Yang H.; Wu J.; Chen F.; Guo Z.; Xue X.; Chen Y.; Xu G.","Yang, Huaiyu (57730612300); Wu, Jianghong (55713889800); Chen, Fucheng (57200530101); Guo, Zhengdao (57483727200); Xue, Xiangjin (57553027400); Chen, Yiqun (57730516200); Xu, Geyao (57730650100)","57730612300; 55713889800; 57200530101; 57483727200; 57553027400; 57730516200; 57730650100","Life cycle climate performance evaluation of electric vehicle thermal management system under Chinese climate and driving condition","2023","Applied Thermal Engineering","228","","120460","","","","2","10.1016/j.applthermaleng.2023.120460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151701141&doi=10.1016%2fj.applthermaleng.2023.120460&partnerID=40&md5=cb7c581945fbe3173a9fb932749d27df","School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, 510641, China","Yang H., School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, 510641, China; Wu J., School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, 510641, China; Chen F., School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, 510641, China; Guo Z., School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, 510641, China; Xue X., School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, 510641, China; Chen Y., School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, 510641, China; Xu G., School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, 510641, China","Electric vehicles have become an effective alternative to traditional fuel vehicles due to their environmental friendship and energy security. Unlike mobile air conditioning, electric vehicle thermal management systems are responsible for the temperature of both the cabin and the electrical system. This paper discusses how the life cycle climate performance of a thermal management system can be evaluated to reflect its environmental performance and guide the direction of development. The GREEN-EVTM-LCCP model is developed to assess greenhouse gas emissions over the life cycle of the EVTM systems and to standardize the calculation of energy consumption based on vehicle end-of-life mileage. For efficient management and wide temperature coverage, the Amesim simulation platform is centered on refrigerant injection heat pump systems. The results show that urban climate has the greatest impact on the greenhouse gas emissions of thermal management systems at 54.80% in China, followed by refrigerant type, energy efficiency, and driving conditions. Under typical Chinese climate and driving conditions, the thermal management system has a life cycle equivalent emission of 18,664 kg. The use of more environmentally friendly refrigerants and improved system cycle efficiency is now effective measures to reduce greenhouse gas emissions. © 2023 Elsevier Ltd","Electric vehicle thermal management; Greenhouse gas emission; Life cycle climate performance; Refrigerant injection","Air conditioning; Electric vehicles; Energy efficiency; Energy management systems; Energy security; Energy utilization; Environmental management; Gas emissions; Greenhouse gases; Heat pump systems; Refrigerants; Simulation platform; Temperature control; Vehicle performance; Chinese climates; Driving conditions; Electric vehicle thermal management; Greenhouse gas emissions; Life cycle climate performance; Performance; Refrigerant injection; Thermal management systems; Vehicle thermal management; Vehicle thermal management systems; Life cycle","Foreign Environmental Cooperation Center; Ministry of Ecology and Environment, (FECO/LY1/S/21/006); National Natural Science Foundation of China, NSFC, (52276008); Natural Science Foundation of Guangdong Province, (2018B0308006)","This work was supported by the China Natural Science Foundation(No.52276008), Natural Science Foundation of Guangdong Province (major basic research cultivation) [Grant No. 2018B0308006] and Foreign Environmental Cooperation Center, Ministry of Ecology and Environment [Grant No. FECO/LY1/S/21/006]. ","J. Wu; School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, 510641, China; email: pmjhwu@scut.edu.cn","","Elsevier Ltd","13594311","","ATENF","","English","Appl Therm Eng","Article","Final","","Scopus","2-s2.0-85151701141"
"Ramraj R.; Pashajavid E.; Alahakoon S.","Ramraj, Rajeshkumar (36634531900); Pashajavid, Ehsan (24605799100); Alahakoon, Sanath (6508134705)","36634531900; 24605799100; 6508134705","Quality of Service and Energy Management of Electric Vehicles: A Review","2021","Proceedings of 2021 31st Australasian Universities Power Engineering Conference, AUPEC 2021","","","","","","","0","10.1109/AUPEC52110.2021.9597765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123278958&doi=10.1109%2fAUPEC52110.2021.9597765&partnerID=40&md5=91c6ff8ed61b1cad9cbef950db65859c","School Of Engineering And Technology, Central Queensland University, Perth, Australia","Ramraj R., School Of Engineering And Technology, Central Queensland University, Perth, Australia; Pashajavid E., School Of Engineering And Technology, Central Queensland University, Perth, Australia; Alahakoon S., School Of Engineering And Technology, Central Queensland University, Perth, Australia","Electric vehicles (EVs) can play a significant role in enhancing energy security and achieving carbon emission reduction targets. Also, such vehicles can expedite grid integration of intermittent renewable energy resources. Quality of service (QoS) includes the factors that can significantly proliferate the number of EVs on the road, facilitating the fulfilment of the main objectives mentioned above. Likewise, EVs' energy management system (EMS) can provide further opportunities to successfully expand the EV market by improving the overall efficiency and fuel economy. This paper presents a comprehensive review of the QoS of EVs. Different aspects of QoS of EVs will be surveyed along with a review of EMS. Recent advances in these fields will also be discussed. © 2021 IEEE.","Electric vehicle; Energy management; Planning and operation; Quality of service","Emission control; Energy management systems; Energy policy; Energy security; Fuel economy; Renewable energy resources; Carbon emissions reductions; Emission reduction targets; Grid integration; Overall efficiency; Planning and operation; Quality of energies; Quality-of-service; Vehicle energy; Quality of service","","","","Rajakaruna S.; Siada A.A.; Iu H.C.; Ghosh A.; Fernando T.","Institute of Electrical and Electronics Engineers Inc.","","978-166543451-5","","","English","Proc. Australas. Univ. Power Eng. Conf., AUPEC","Conference paper","Final","","Scopus","2-s2.0-85123278958"
"Parah S.A.; Jamil M.","Parah, Sohail Ahmad (58190499300); Jamil, Majid (57191203774)","58190499300; 57191203774","Techniques for optimal Placement of Electric Vehicle Charging Stations: A review","2023","2023 International Conference on Power, Instrumentation, Energy and Control, PIECON 2023","","","108","","","","0","10.1109/PIECON56912.2023.10085887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153117828&doi=10.1109%2fPIECON56912.2023.10085887&partnerID=40&md5=66fc0b6f22cca3fd3a0c7fe0681bba9c","Jamia Millia Islamia, Department of Electrical Engineering, New Delhi, India","Parah S.A., Jamia Millia Islamia, Department of Electrical Engineering, New Delhi, India; Jamil M., Jamia Millia Islamia, Department of Electrical Engineering, New Delhi, India","The excess uses of conventional vehicles are the major concern to deteriorate our environment. The excess releases of greenhouse gases from the burning of fossil fuels are the key factors responsible for global warming. Therefore most countries like Saudi Arabia, the USA, India, etc, and their policymakers think that conventional Vehicles must be replaced by electrical vehicles. Electric vehicles play a significant role in improving air quality, energy security, and economic opportunity. The placement of charging station is a complex problem involving a number of constraints, decision variables and objective functions. Therefore, for solving non- linear and complex nature of the charging station placement researchers apply different optimization algorithms. This review paper focuses on the optimal placement of electric vehicle charging station planning using different optimization techniques by various researchers.  © 2023 IEEE.","charging station; distributed generations electric vehicles; electric vehicle charging station","Air quality; Charging (batteries); Electric vehicles; Energy security; Fossil fuels; Global warming; Greenhouse gases; Charging station; Distributed generation electric vehicle; Electric vehicle charging; Electric vehicle charging station; Greenhouses gas; Key factors; Optimal placements; Policy makers; Saudi Arabia; Distributed power generation","","","S.A. Parah; Jamia Millia Islamia, Department of Electrical Engineering, New Delhi, India; email: Sohailparah11@gmail.com","","Institute of Electrical and Electronics Engineers Inc.","","979-835039976-9","","","English","Int. Conf. Power, Instrum., Energy Control, PIECON","Conference paper","Final","","Scopus","2-s2.0-85153117828"
"Fang C.; Yu S.; Shi S.; Wei X.; Feng D.; Zhou Y.","Fang, Chen (55668179800); Yu, Sumin (57219626298); Shi, Shanshan (56102122700); Wei, Xinchi (56515811500); Feng, Donghan (7401981343); Zhou, Yun (56427177100)","55668179800; 57219626298; 56102122700; 56515811500; 7401981343; 56427177100","Planning Method of Fast Charging Station for Urban Commercial Vehicles with Fine Road Network Modeling","2022","I and CPS Asia 2022 - 2022 IEEE IAS Industrial and Commercial Power System Asia","","","","1861","1866","5","0","10.1109/ICPSAsia55496.2022.9949898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143424430&doi=10.1109%2fICPSAsia55496.2022.9949898&partnerID=40&md5=db1624f9c1b31eb46f8da310f71666b9","State Grid Shanghai Electric Power Company, Electric Power Research Institute, Shanghai, China; Shanghai Jiao Tong University, Dept. of Electrical Engineering, Shanghai, China","Fang C., State Grid Shanghai Electric Power Company, Electric Power Research Institute, Shanghai, China; Yu S., Shanghai Jiao Tong University, Dept. of Electrical Engineering, Shanghai, China; Shi S., State Grid Shanghai Electric Power Company, Electric Power Research Institute, Shanghai, China; Wei X., State Grid Shanghai Electric Power Company, Electric Power Research Institute, Shanghai, China; Feng D., Shanghai Jiao Tong University, Dept. of Electrical Engineering, Shanghai, China; Zhou Y., Shanghai Jiao Tong University, Dept. of Electrical Engineering, Shanghai, China","Increasing the proportion of electric vehicles (EVs) is conducive to energy conservation, emission reduction and national energy security. Commercial vehicles, including taxis and ride-hailing, are important part of EVs. At present, the bottleneck of the development of EVs lies in the limitation of the distribution of fast charging stations, so it is necessary to put forward the planning method of urban fast charging stations serving commercial vehicles. In this paper, origin-destination matrix based on gravity model and actual road information is used to establish a fine road network model. This paper models fast charging demand, establishes the user charging decision-making model, measures the user charging waiting cost based on queuing theory, and establishes a two-layer solving model with the goal of optimizing the comprehensive economy of distribution network, charging station operators and owners. A heuristic algorithm is used to solve the problem, and an example is given to verify the effectiveness and usability of the planning method. © 2022 IEEE.","commercial vehicles; decision preference; fast charging station; queuing theory; refined road network","Charging (batteries); Decision making; Decision theory; Emission control; Heuristic algorithms; Heuristic methods; Motor transportation; Queueing theory; Roads and streets; Decision preference; Emission reduction; Fast charging stations; Gravity modeling; Origin destination matrices; Planning method; Queuing theory; Refined road network; Road network; Road network modelling; Commercial vehicles","Science and Technology Commission of Shanghai Municipality, STCSM, (21DZ2204800)","This work was supported by the Science and Technology Commission of Shanghai Municipality (21DZ2204800).","S. Yu; Shanghai Jiao Tong University, Dept. of Electrical Engineering, Shanghai, China; email: yusumin@sjtu.edu.cn","","Institute of Electrical and Electronics Engineers Inc.","","978-166545066-9","","","English","I CPS Asia - IEEE IAS Ind. Commer. Power Syst. Asia","Conference paper","Final","","Scopus","2-s2.0-85143424430"
"Woodley L.; Rossetti P.; Nunes A.","Woodley, Lucas (57561961700); Rossetti, Philip (57561573900); Nunes, Ashley (57201554916)","57561961700; 57561573900; 57201554916","Targeted electric vehicle procurement incentives facilitate efficient abatement cost outcomes","2023","Sustainable Cities and Society","96","","104627","","","","0","10.1016/j.scs.2023.104627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159061372&doi=10.1016%2fj.scs.2023.104627&partnerID=40&md5=0662e9a45ba69378eec3e521a096af74","Department of Economics, Harvard College, Cambridge, 02139, MA, United States; R Street Institute, Washington, 20005, DC, United States; Breakthrough Institute, Berkeley, 94704, CA, United States; Center for Labor and a Just Economy, Harvard Law School, Cambridge, 02138, MA, United States","Woodley L., Department of Economics, Harvard College, Cambridge, 02139, MA, United States; Rossetti P., R Street Institute, Washington, 20005, DC, United States; Nunes A., Department of Economics, Harvard College, Cambridge, 02139, MA, United States, Breakthrough Institute, Berkeley, 94704, CA, United States, Center for Labor and a Just Economy, Harvard Law School, Cambridge, 02138, MA, United States","Electric vehicles (EVs) are one solution to creating a transportation system that is more energy efficient, fosters greater energy security, and is less polluting. Existing public policy reflects this sentiment. Over the last two decades, various government-sponsored policies have been adopted to stimulate EV sales. The most notable – and ubiquitous – of these are procurement incentives. However, the effectiveness of this policy as a pathway to emissions reductions depends on the cost-to-emissions advantage EVs offer over gasoline powered vehicles. Under what conditions is this advantage realized? Using publicly available data, we estimate the precursors – with foci on aggregate mileage and battery longevity - required for EVs to achieve an array of abatement cost thresholds. Our findings are fourfold. First, we illustrate that increased aggregate vehicle utilization – ceteris paribus – decreases implied abatement cost. Second, we find that, after accounting for battery replacements, requisite aggregate utilization for EV-incentive policies to achieve cost parity with alternatives can greatly exceed existing ownership trends, depending on the targeted abatement cost and vehicle ownership period. Third, we document that – owing to their sole emphasis on EV procurement rather than utilization – existing policy fails to accommodate these preconditions. Fourth, we demonstrate that electrical grid decarbonization may be insufficient to produce efficient abatement cost outcomes for EVs. Addressing these inefficiencies necessitates – we conclude – adopting procurement incentivize programs that reward utilization rather than acquisition alone. Doing so would also address longstanding distributional concerns surrounding such programs. © 2023 Elsevier Ltd","Abatement costs; Climate change; Electric vehicles; Procurement incentives","Aggregates; Cost benefit analysis; Electric vehicles; Energy efficiency; Energy security; Secondary batteries; Abatement costs; Battery replacements; Ceteris paribus; Condition; Emission reduction; Energy efficient; Incentives policy; Procurement incentive; Transportation system; Vehicle utilization; abatement cost; climate change; efficiency measurement; electric vehicle; environmental economics; incentive; Climate change","","","A. Nunes; Breakthrough Institute, Berkeley, 94704, United States; email: ashley@thebreakthrough.org","","Elsevier Ltd","22106707","","","","English","Sustainable Cities Soc.","Article","Final","","Scopus","2-s2.0-85159061372"
"Safrina R.; Utama N.A.","Safrina, Rika (57406996500); Utama, Nuki Agya (57219987240)","57406996500; 57219987240","ASEAN energy transition pathway toward the 2030 agenda","2023","Environmental Progress and Sustainable Energy","","","","","","","0","10.1002/ep.14101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149417710&doi=10.1002%2fep.14101&partnerID=40&md5=be01a03816b982fdd6ad6607fca4a0a9","ASEAN Centre for Energy, Jakarta, Indonesia; Magister Energy, Post Graduate Programe, Diponegoro University, Semarang, Indonesia","Safrina R., ASEAN Centre for Energy, Jakarta, Indonesia; Utama N.A., ASEAN Centre for Energy, Jakarta, Indonesia, Magister Energy, Post Graduate Programe, Diponegoro University, Semarang, Indonesia","It is known that ASEAN has been one of the most dynamic and fastest-growing regions in the world in recent decades and will still be expected to contribute largely to global economic growth in the next decades. Not only facing a growing energy demand, but ASEAN also needs to balance its energy trilemma (energy security, energy equity, and energy sustainability). On the other hand, ASEAN countries also acknowledge the need for transitioning into a low-carbon economy to contribute to the global agenda of sustainable development goals 2030. Considering all the challenges, we argue that a comprehensive review of the historical and outlook of the ASEAN energy landscape, as well as national and regional energy policies, is important to investigate the capability of ASEAN Member States (AMS) to accelerate energy transition while securing energy supply. ASEAN has been a net importer of oil since before 2005, with transport accounting for the largest share of oil demand. Measures in the transportation sector need to be taken by the AMS by enhancing their biofuels and electric vehicle developments. The electricity grid can also be more diversified with the integration of renewable energy, considering the region possesses the untapped potential for hydro and solar, among others. Public financing is required to create a supportive environment for the ASEAN energy transition pathway by opening up the path and catalyzing market participation from private businesses. This article aims to provide a novel contribution to assessing energy potential in the Southeast Asia region toward the 2030 global agenda. © 2023 American Institute of Chemical Engineers.","energy outlook; energy security; energy transition; sustainable development goals","","","","R. Safrina; ASEAN Centre for Energy, ASEAN, Jakarta, Soemantri Brodjonegoro II Building, Indonesia; email: rsafrina@aseanenergy.org","","John Wiley and Sons Inc","19447442","","ENVPD","","English","Environ Prog Sustainable Energy","Review","Article in press","","Scopus","2-s2.0-85149417710"
"Fu Y.; Xia T.","Fu, Yueqiang (57223146784); Xia, Tiantian (57223152351)","57223146784; 57223152351","Modeling and Simulation of Electric Vehicle Industry Development Based on System Dynamics; [基于系统动力学的电动汽车产业发展建模与仿真]","2021","Xitong Fangzhen Xuebao / Journal of System Simulation","33","4","","973","981","8","3","10.16182/j.issn1004731x.joss.19-0648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105084569&doi=10.16182%2fj.issn1004731x.joss.19-0648&partnerID=40&md5=f54abf6db6fc3c0856a61c2d7bcfd283","The Center of Collaboration and Innovation, Jiangxi University of Technology, Nanchang, 330098, China","Fu Y., The Center of Collaboration and Innovation, Jiangxi University of Technology, Nanchang, 330098, China; Xia T., The Center of Collaboration and Innovation, Jiangxi University of Technology, Nanchang, 330098, China","New energy electric vehicle are the main trend of automobile industry upgrading. It plays an important role in ensuring the energy security and improving the ecological environment. It is of theoretical and practical significance to carry out research on the development of new energy electric vehicles. The affecting factors are systematically analyzed, the causal relationship model and stock flow model are established, and the dynamic equation of the model are determined and the parameter assignments are made. The model is verified and the system simulation and analysis are performed. The development trend and main influencing factors of new energy electric vehicles are explored. The countermeasures for the development of electric vehicle industry are put forward from the aspects of government subsidies, key technological breakthroughs, charging and replacement infrastructure construction, and consumer market cultivation. © 2021, The Editorial Board of Journal of System Simulation. All right reserved.","Electric vehicle; System dynamics; System simulation; Vensim","","","","","","Acta Simulata Systematica Sinica","1004731X","","XFXUF","","Chinese","Xitong Fangzhen Xuebao","Article","Final","","Scopus","2-s2.0-85105084569"
